review,cleaned_text,sentiment,confidence,is_suggestion,suggestion_text
nice app,nice app,POSITIVE,1.0,False,
good internet,good internet,POSITIVE,1.0,False,
geda jasto net muji 100mbps net cha solo chalaudapani jabo anime 1080p chalna sakdaina dhikkar xa randiko ban,geda jasto net muji 100mbps net cha solo chalaudapani jabo anime 1080p chalna sakdaina dhikkar xa randiko ban,NEGATIVE,0.994,False,
wow,wow,POSITIVE,1.0,False,
useless appdevice filter option shows error every time try change,useless appdevice filter option shows error every time try change,NEGATIVE,1.0,False,
nice thank world link,nice thank world link,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
poor quality app,poor quality app,NEGATIVE,0.999,False,
world link slow link,world link slow link,NEGATIVE,1.0,False,
gives worst internet service,gives worst internet service,NEGATIVE,1.0,False,
nice app helpful,nice app helpful,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
good apps,good apps,POSITIVE,1.0,False,
one worst network ever sign give star sign would never hesitate,one worst network ever sign give star sign would never hesitate,NEGATIVE,0.999,False,
good,good,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
awesome,awesome,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
much lag app doesnt respond properly,much lag app doesnt respond properly,NEGATIVE,1.0,False,
slow performance,slow performance,NEGATIVE,1.0,False,
yo worldlink vannako name ko matra ho mula service chai 0 xa ani kura matra thulo ho yeni haru ko service dina ne audina yesto lai ta rakhnu nai hunna k kasai la pani faced lost problem give service purpose time guys also get regret dont take risk join world link,yo worldlink vannako name ko matra ho mula service chai 0 xa ani kura matra thulo ho yeni haru ko service dina ne audina yesto lai ta rakhnu nai hunna k kasai la pani faced lost problem give service purpose time guys also get regret dont take risk join world link,NEGATIVE,0.997,False,
best ui app easy use beginner also,best ui app easy use beginner also,POSITIVE,0.997,False,
nice wifi speed thanks compeny,nice wifi speed thanks compeny,POSITIVE,1.0,False,
good service,good service,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
binodkumarpal,binodkumarpal,POSITIVE,0.865,False,
stupid,stupid,NEGATIVE,1.0,False,
cant report app get trouble,cant report app get trouble,NEGATIVE,0.995,False,
worst app,worst app,NEGATIVE,1.0,False,
outstanding wifi,outstanding wifi,POSITIVE,1.0,False,
worldlink best connect,worldlink best connect,POSITIVE,1.0,False,
nice app,nice app,POSITIVE,1.0,False,
good service,good service,POSITIVE,1.0,False,
oppo a5s mobile versions device latest world link app version running suggested solve problem quickly,oppo a5s mobile versions device latest world link app version running suggested solve problem quickly,NEGATIVE,0.992,False,
mkc app machiken jahile pani game khelda ping 299 999 hunxa dont use world link pl,mkc app machiken jahile pani game khelda ping 299 999 hunxa dont use world link pl,NEGATIVE,0.998,False,
best,best,POSITIVE,1.0,False,
dubai,dubai,POSITIVE,0.997,False,
app good changing password,app good changing password,POSITIVE,0.999,False,
best,best,POSITIVE,1.0,False,
good happy,good happy,POSITIVE,1.0,False,
worst app device filtering doesnt work one click look connected device appears connected device connected glitch app app developer look issues,worst app device filtering doesnt work one click look connected device appears connected device connected glitch app app developer look issues,NEGATIVE,1.0,False,
mro connected device nai dhekaudaina muji renewal payment gar vanera tw call gareko gare garxas tw net chai k ho gu jsto chaldai nachalne 250mbbs mro gula muji,mro connected device nai dhekaudaina muji renewal payment gar vanera tw call gareko gare garxas tw net chai k ho gu jsto chaldai nachalne 250mbbs mro gula muji,NEGATIVE,0.997,False,
app slow lacking,app slow lacking,NEGATIVE,0.999,False,
good luck,good luck,POSITIVE,1.0,False,
service poor,service poor,NEGATIVE,1.0,False,
5g smoothie,5g smoothie,POSITIVE,0.971,False,
first days good weeks internet speed drops like 10 scam dont purchase network,first days good weeks internet speed drops like 10 scam dont purchase network,NEGATIVE,0.999,False,
good,good,POSITIVE,1.0,False,
bad wifi said 250mbps works 30mbps wth,bad wifi said 250mbps works 30mbps wth,NEGATIVE,0.999,False,
slow,slow,NEGATIVE,1.0,False,
working update properly,working update properly,POSITIVE,0.999,False,
tried login expected doesnt send login code number doesnt let login google responsible app,tried login expected doesnt send login code number doesnt let login google responsible app,NEGATIVE,0.995,False,
outstanding,outstanding,POSITIVE,1.0,False,
qr code garne option lyauna paryo wifi lai secure garna,qr code garne option lyauna paryo wifi lai secure garna,NEGATIVE,0.973,False,
good,good,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
goooodddddd,goooodddddd,NEGATIVE,0.986,False,
good,good,POSITIVE,1.0,False,
one useless wifi world link,one useless wifi world link,NEGATIVE,0.999,False,
good service good mention,good service good mention,POSITIVE,1.0,False,
like,like,POSITIVE,0.991,False,
good,good,POSITIVE,1.0,False,
wors resive code say sent code,wors resive code say sent code,NEGATIVE,0.997,False,
nice,nice,POSITIVE,1.0,False,
awesome,awesome,POSITIVE,1.0,False,
worldlink ko wifi le worldlink aap naii khuldaiina,worldlink ko wifi le worldlink aap naii khuldaiina,NEGATIVE,0.96,False,
open worldlink,open worldlink,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
good service,good service,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
og,og,POSITIVE,0.975,False,
bad service responds,bad service responds,NEGATIVE,1.0,False,
slow net,slow net,NEGATIVE,1.0,False,
slow speed,slow speed,NEGATIVE,1.0,False,
best,best,POSITIVE,1.0,False,
much slow app im trying user block list get block,much slow app im trying user block list get block,NEGATIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
bhupendar,bhupendar,POSITIVE,0.968,False,
best x worldlink,best x worldlink,POSITIVE,1.0,False,
nice app,nice app,POSITIVE,1.0,False,
bad service,bad service,NEGATIVE,1.0,False,
experience could feels good motor better experience,experience could feels good motor better experience,NEGATIVE,0.745,False,
worst service ive ever used nonsense policies rating,worst service ive ever used nonsense policies rating,NEGATIVE,1.0,False,
kei kam nai gardaina ta secondary router xa tei vayera mobile banking esewa kei kam nai gardaina,kei kam nai gardaina ta secondary router xa tei vayera mobile banking esewa kei kam nai gardaina,NEGATIVE,0.996,False,
indeed much slower tortoise,indeed much slower tortoise,NEGATIVE,0.995,False,
app crashes every time,app crashes every time,NEGATIVE,0.999,False,
net gatilo chhaina paisa dherai mahango aba sabai banda bhayepaxi kaam ni chhaina yes ko,net gatilo chhaina paisa dherai mahango aba sabai banda bhayepaxi kaam ni chhaina yes ko,NEGATIVE,0.962,False,
good,good,POSITIVE,1.0,False,
useless application good nothing bad worst applicationdo download,useless application good nothing bad worst applicationdo download,NEGATIVE,0.998,False,
best app plz dowload app plz,best app plz dowload app plz,POSITIVE,0.957,False,
free wi fi totally scam otherwise watching one time advertising connecting properly slow internet,free wi fi totally scam otherwise watching one time advertising connecting properly slow internet,NEGATIVE,1.0,False,
helpful,helpful,POSITIVE,1.0,False,
like app,like app,POSITIVE,0.984,False,
useless,useless,NEGATIVE,1.0,False,
useless app cant even used change wifi password restrict devices network,useless app cant even used change wifi password restrict devices network,NEGATIVE,0.999,False,
installing,installing,POSITIVE,0.996,False,
nice experience,nice experience,POSITIVE,1.0,False,
slow internet poor service dont like internet,slow internet poor service dont like internet,NEGATIVE,1.0,False,
help,help,POSITIVE,0.989,False,
usefull app,usefull app,POSITIVE,0.995,False,
best app best isp nepal,best app best isp nepal,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
useful,useful,POSITIVE,1.0,False,
worse app ever use,worse app ever use,NEGATIVE,1.0,False,
gross net,gross net,NEGATIVE,1.0,False,
loss surgery slow net,loss surgery slow net,NEGATIVE,0.999,False,
manoj mahoto,manoj mahoto,POSITIVE,0.994,False,
love,love,POSITIVE,1.0,False,
login nai hudaina code halda ni error matra hunxa try vanxa,login nai hudaina code halda ni error matra hunxa try vanxa,NEGATIVE,0.995,False,
ghatiya company slow complain garada response vanxa raughter najik basnu ghatiya company,ghatiya company slow complain garada response vanxa raughter najik basnu ghatiya company,NEGATIVE,0.999,False,
nice,nice,POSITIVE,1.0,False,
great work,great work,POSITIVE,1.0,False,
worse internet service,worse internet service,NEGATIVE,1.0,False,
useful,useful,POSITIVE,1.0,False,
awesome,awesome,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
slow net word,slow net word,NEGATIVE,1.0,False,
nice app,nice app,POSITIVE,1.0,False,
awful app tried edit mac filter list complete headache,awful app tried edit mac filter list complete headache,NEGATIVE,1.0,False,
good internet provider nepal,good internet provider nepal,POSITIVE,1.0,False,
great services fast net thanks worldlink team,great services fast net thanks worldlink team,POSITIVE,1.0,False,
sabai vanda slow ra hawaa wifi vanakaii world link hoo na ta range naii na ta ramro net naii xa hawaa wifi ever,sabai vanda slow ra hawaa wifi vanakaii world link hoo na ta range naii na ta ramro net naii xa hawaa wifi ever,NEGATIVE,0.996,False,
app good local staff lazy hell dont receive calls arrive late sometimes 2 3 days later takes days resolve simple problems overall customer service local level disastrous looking good internet service providers,app good local staff lazy hell dont receive calls arrive late sometimes 2 3 days later takes days resolve simple problems overall customer service local level disastrous looking good internet service providers,NEGATIVE,0.993,False,
good,good,POSITIVE,1.0,False,
excellent,excellent,POSITIVE,1.0,False,
internet fast repairing slow xa bela bela net janxa,internet fast repairing slow xa bela bela net janxa,NEGATIVE,0.993,False,
app practically useless internet even another internet connection still shows router offline wont let access manage settings router control app work locally network depend entirely isps connection disappointing,app practically useless internet even another internet connection still shows router offline wont let access manage settings router control app work locally network depend entirely isps connection disappointing,NEGATIVE,1.0,False,
cant worse update current worldlink app whenever try check connected devices wifi automatically disconnects reconnects problem happens try change wifi password using app wifi keeps going driving crazy long tolerate worldlink care issue,cant worse update current worldlink app whenever try check connected devices wifi automatically disconnects reconnects problem happens try change wifi password using app wifi keeps going driving crazy long tolerate worldlink care issue,NEGATIVE,0.997,False,
good service,good service,POSITIVE,1.0,False,
unmanaged,unmanaged,NEGATIVE,0.997,False,
device filter option dont work,device filter option dont work,NEGATIVE,1.0,False,
excellent speed service 1010,excellent speed service 1010,POSITIVE,1.0,False,
rauter slow work range,rauter slow work range,NEGATIVE,0.999,False,
good,good,POSITIVE,1.0,False,
wow,wow,POSITIVE,1.0,False,
connectivity poor,connectivity poor,NEGATIVE,1.0,False,
worst customer service ever u text send u otp wgen u enter otp says wrong u somehow manage talk straight ignore u via whatsapp,worst customer service ever u text send u otp wgen u enter otp says wrong u somehow manage talk straight ignore u via whatsapp,NEGATIVE,1.0,False,
khatam xa mug phone garda uthaudaina net ko speed kaxuwa vanda slow xa,khatam xa mug phone garda uthaudaina net ko speed kaxuwa vanda slow xa,NEGATIVE,0.999,False,
service low also internet isnt good watch staffs rude domineering,service low also internet isnt good watch staffs rude domineering,NEGATIVE,0.996,False,
verry bad network,verry bad network,NEGATIVE,1.0,False,
wonderfull,wonderfull,POSITIVE,1.0,False,
worst app worst customer service experience ever never use app connection,worst app worst customer service experience ever never use app connection,NEGATIVE,1.0,False,
1time open hunxa aaru bela aafaii back hunxa hawa update garna paryo,1time open hunxa aaru bela aafaii back hunxa hawa update garna paryo,NEGATIVE,0.984,False,
good,good,POSITIVE,1.0,False,
ecxellent,ecxellent,NEGATIVE,0.983,False,
app biased show fault backend network staff keep messing network connection setting worldlink tells modem offline reality modem online,app biased show fault backend network staff keep messing network connection setting worldlink tells modem offline reality modem online,NEGATIVE,0.999,False,
device filtering doesnt work single click,device filtering doesnt work single click,NEGATIVE,0.999,False,
home home,home home,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
nice job,nice job,POSITIVE,1.0,False,
best reason,best reason,POSITIVE,0.996,False,
excellent wonderful,excellent wonderful,POSITIVE,1.0,False,
experience excellent,experience excellent,POSITIVE,1.0,False,
whenever open app net automatically goes slow nowadays internet speed become slow,whenever open app net automatically goes slow nowadays internet speed become slow,NEGATIVE,0.998,False,
password change garna ho vane download garda hunxa natra download nagarnu aru kei open hunna,password change garna ho vane download garda hunxa natra download nagarnu aru kei open hunna,NEGATIVE,0.988,False,
app exceptional easy access,app exceptional easy access,POSITIVE,0.999,False,
good,good,POSITIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
satisfied internet service well supportive care alret headoffice,satisfied internet service well supportive care alret headoffice,POSITIVE,0.988,False,
app bad service recommended period,app bad service recommended period,NEGATIVE,0.997,False,
good job,good job,POSITIVE,1.0,False,
everything going good,everything going good,POSITIVE,1.0,False,
pretty good app,pretty good app,POSITIVE,1.0,False,
worsted internet ever try,worsted internet ever try,NEGATIVE,1.0,False,
good,good,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
router blank page dekhaune issue wlink lai vanda mainau bitta samma ni banena,router blank page dekhaune issue wlink lai vanda mainau bitta samma ni banena,NEGATIVE,0.999,False,
excellent,excellent,POSITIVE,1.0,False,
app slow wifi incredible,app slow wifi incredible,POSITIVE,0.996,False,
good app,good app,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
found fault reached app check connected device tap connected device icon app shows connected device mobile checking mobile connected internet dear worldlink solve fault faster also wifi going slow day day,found fault reached app check connected device tap connected device icon app shows connected device mobile checking mobile connected internet dear worldlink solve fault faster also wifi going slow day day,NEGATIVE,0.999,False,
best,best,POSITIVE,1.0,False,
good app control device connections,good app control device connections,POSITIVE,0.999,False,
device filtering working properly glitch app app developer look issue,device filtering working properly glitch app app developer look issue,NEGATIVE,0.996,False,
nice,nice,POSITIVE,1.0,False,
easy use help us,easy use help us,NEGATIVE,0.552,False,
poor service,poor service,NEGATIVE,1.0,False,
poor net,poor net,NEGATIVE,1.0,False,
good,good,POSITIVE,1.0,False,
noce,noce,POSITIVE,0.682,False,
esay manage access,esay manage access,POSITIVE,0.997,False,
excellent,excellent,POSITIVE,1.0,False,
best service ever,best service ever,POSITIVE,1.0,False,
great app lack password,great app lack password,NEGATIVE,0.957,False,
good application,good application,POSITIVE,1.0,False,
amazing app,amazing app,POSITIVE,1.0,False,
world link best internet using internet since 2016,world link best internet using internet since 2016,POSITIVE,0.999,False,
good,good,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
excilent,excilent,NEGATIVE,0.967,False,
slow wifi,slow wifi,NEGATIVE,0.998,False,
good,good,POSITIVE,1.0,False,
even login app code coming,even login app code coming,NEGATIVE,0.99,False,
click 100 time enable disable device filtering worst worst,click 100 time enable disable device filtering worst worst,NEGATIVE,1.0,False,
excelent,excelent,POSITIVE,1.0,False,
helpful,helpful,POSITIVE,1.0,False,
tori option zero stars one star much app,tori option zero stars one star much app,NEGATIVE,0.991,False,
𝐰𝐨𝐫𝐬𝐭 𝐞𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞 𝐞𝐯𝐞𝐫,,POSITIVE,0.748,False,
good,good,POSITIVE,1.0,False,
amazing fast services,amazing fast services,POSITIVE,1.0,False,
best,best,POSITIVE,1.0,False,
cant even give straight forward answer asked question questionable customer service,cant even give straight forward answer asked question questionable customer service,NEGATIVE,0.998,False,
nice,nice,POSITIVE,1.0,False,
worldlink never fails disappoint,worldlink never fails disappoint,POSITIVE,0.996,False,
helpful,helpful,POSITIVE,1.0,False,
several days wifi power reduces,several days wifi power reduces,NEGATIVE,0.996,False,
good,good,POSITIVE,1.0,False,
amazing service,amazing service,POSITIVE,1.0,False,
makes much easier works bill payment made also change password network also see expiry date network like love,makes much easier works bill payment made also change password network also see expiry date network like love,NEGATIVE,0.68,False,
nice,nice,POSITIVE,1.0,False,
lot bugs app look device connection even device connected appears connected even get blocked try block 45 times gets blocked forcefully net also runs slow,lot bugs app look device connection even device connected appears connected even get blocked try block 45 times gets blocked forcefully net also runs slow,NEGATIVE,1.0,False,
nice,nice,POSITIVE,1.0,False,
zero review dina mildaina,zero review dina mildaina,NEGATIVE,0.998,False,
good job,good job,POSITIVE,1.0,False,
best,best,POSITIVE,1.0,False,
safenet back 10 months,safenet back 10 months,NEGATIVE,0.994,False,
terrible app cant even handle simple blacklist request takes forever load resets list time time convinced hired nepals low tier app developer sure,terrible app cant even handle simple blacklist request takes forever load resets list time time convinced hired nepals low tier app developer sure,NEGATIVE,1.0,False,
account diagnostic working technical team responding timevery bad support team,account diagnostic working technical team responding timevery bad support team,NEGATIVE,1.0,False,
good,good,POSITIVE,1.0,False,
world link best isp nepal,world link best isp nepal,POSITIVE,1.0,False,
khatam xa refer garna khojyo location ghumeko ghumai garexa,khatam xa refer garna khojyo location ghumeko ghumai garexa,NEGATIVE,0.973,False,
slow working perfectly,slow working perfectly,POSITIVE,0.999,False,
much expensive offers also cut,much expensive offers also cut,NEGATIVE,0.988,False,
best app amongst isps nepal lag bug free app experience,best app amongst isps nepal lag bug free app experience,NEGATIVE,0.814,False,
provide exllent net,provide exllent net,NEGATIVE,0.641,False,
net slow,net slow,NEGATIVE,1.0,False,
great service,great service,POSITIVE,1.0,False,
good,good,POSITIVE,1.0,False,
worst experience life,worst experience life,NEGATIVE,1.0,False,
nice working,nice working,POSITIVE,1.0,False,
worst internet servce provider using worldlink 10 years always got 1 year subscription yet give benefits loyal customer concept loyal customer base sluggish customer care calling since 6 days 10 times said thing every single time tapailai call auxa took 5 days call back also solution dont care customer advice go better isps,worst internet servce provider using worldlink 10 years always got 1 year subscription yet give benefits loyal customer concept loyal customer base sluggish customer care calling since 6 days 10 times said thing every single time tapailai call auxa took 5 days call back also solution dont care customer advice go better isps,NEGATIVE,0.987,False,
im using apps think apps nice helpful others issues detect apps want apps forever,im using apps think apps nice helpful others issues detect apps want apps forever,NEGATIVE,0.954,False,
bak bas app xa ramro sang kam kar dai na,bak bas app xa ramro sang kam kar dai na,NEGATIVE,0.948,False,
nice,nice,POSITIVE,1.0,False,
weak,weak,NEGATIVE,1.0,False,
best wifi,best wifi,POSITIVE,1.0,False,
last slow internet response representative,last slow internet response representative,NEGATIVE,0.993,False,
costumers haru lai service ko naam ko guu ho yo worldink chor jastai behaviour xan,costumers haru lai service ko naam ko guu ho yo worldink chor jastai behaviour xan,NEGATIVE,0.966,False,
daily line problem,daily line problem,NEGATIVE,0.999,False,
