id,rating,cleaned_review,label,is_suggestion
1,5,nice app,positive,0
2,5,good internet,positive,0
3,1,geda jasto net muji 100mbps net cha solo chalaudapani jabo anime 1080p chalna sakdaina dhikkar xa randiko ban,negative,0
4,5,wow,positive,0
5,1,useless appdevice filter option shows error every time try change,negative,0
6,5,nice thank world link,positive,0
7,5,neet improve internet rather good,positive,1
8,3,nice,neutral,0
9,1,even though sync multiple times sync doesnot happens time synced 45time via app throught web saw sync happened 1201 pm result cant see many devices connected currently rather shows devices connected time kindly fix problem,negative,1
10,1,poor quality app,negative,0
11,1,world link slow link,negative,0
12,1,gives worst internet service,negative,0
13,4,nice app helpful,positive,0
14,5,good,positive,0
15,1,app slow many things worldlink need improvise customers end side,negative,1
16,5,good apps,positive,0
17,1,one worst network ever sign give star sign would never hesitate,negative,0
18,5,good,positive,0
19,5,good,positive,0
20,3,nice,neutral,0
22,5,awesome,positive,0
23,4,good,positive,0
24,1,much lag app doesnt respond properly,negative,0
26,1,slow performance,negative,0
27,1,yo worldlink vannako name ko matra ho mula service chai 0 xa ani kura matra thulo ho yeni haru ko service dina ne audina yesto lai ta rakhnu nai hunna k kasai la pani faced lost problem give service purpose time guys also get regret dont take risk join world link,negative,1
28,5,best ui app easy use beginner also,positive,0
29,5,nice wifi speed thanks compeny,positive,0
30,5,good service,positive,0
31,5,good,positive,0
32,5,binodkumarpal,positive,0
33,1,stupid,negative,0
34,1,cant report app get trouble,negative,0
35,1,worst app,negative,0
37,5,outstanding wifi,positive,0
38,5,worldlink best connect,positive,0
39,5,nice app,positive,0
40,5,good service,positive,0
41,1,couldnt even sign also doesnt make sense fix app delete app,negative,1
42,4,oppo a5s mobile versions device latest world link app version running suggested solve problem quickly,positive,1
43,1,mkc app machiken jahile pani game khelda ping 299 999 hunxa dont use world link pl,negative,0
44,5,best,positive,0
45,5,dubai,positive,0
46,4,app good changing password,positive,0
47,5,best,positive,0
48,4,good happy,positive,0
49,1,worst app device filtering doesnt work one click look connected device appears connected device connected glitch app app developer look issues,negative,1
50,1,mro connected device nai dhekaudaina muji renewal payment gar vanera tw call gareko gare garxas tw net chai k ho gu jsto chaldai nachalne 250mbbs mro gula muji,negative,0
51,1,app slow lacking,negative,0
52,5,good luck,positive,0
53,1,service poor,negative,0
54,5,5g smoothie,positive,0
55,1,first days good weeks internet speed drops like 10 scam dont purchase network,negative,0
56,5,good,positive,0
