cleaned_text,sentiment
nice app,POSITIVE
good internet,POSITIVE
geda jasto net muji 100mbps net cha solo chalaudapani jabo anime 1080p chalna sakdaina dhikkar xa randiko ban,NEGATIVE
wow,POSITIVE
useless appdevice filter option shows error every time try change,NEGATIVE
nice thank world link,POSITIVE
neet improve internet rather good,POSITIVE
nice,POSITIVE
even though sync multiple times sync doesnot happens time synced 45time via app throught web saw sync happened 1201 pm result cant see many devices connected currently rather shows devices connected time kindly fix problem,NEGATIVE
poor quality app,NEGATIVE
world link slow link,NEGATIVE
gives worst internet service,NEGATIVE
nice app helpful,POSITIVE
good,POSITIVE
app slow many things worldlink need improvise customers end side,NEGATIVE
good apps,POSITIVE
one worst network ever sign give star sign would never hesitate,NEGATIVE
good,POSITIVE
good,POSITIVE
nice,POSITIVE
awesome,POSITIVE
good,POSITIVE
much lag app doesnt respond properly,NEGATIVE
slow performance,NEGATIVE
yo worldlink vannako name ko matra ho mula service chai 0 xa ani kura matra thulo ho yeni haru ko service dina ne audina yesto lai ta rakhnu nai hunna k kasai la pani faced lost problem give service purpose time guys also get regret dont take risk join world link,NEGATIVE
best ui app easy use beginner also,POSITIVE
nice wifi speed thanks compeny,POSITIVE
good service,POSITIVE
good,POSITIVE
binodkumarpal,POSITIVE
stupid,NEGATIVE
cant report app get trouble,NEGATIVE
worst app,NEGATIVE
outstanding wifi,POSITIVE
worldlink best connect,POSITIVE
nice app,POSITIVE
good service,POSITIVE
couldnt even sign also doesnt make sense fix app delete app,NEGATIVE
oppo a5s mobile versions device latest world link app version running suggested solve problem quickly,NEGATIVE
mkc app machiken jahile pani game khelda ping 299 999 hunxa dont use world link pl,NEGATIVE
best,POSITIVE
dubai,POSITIVE
app good changing password,POSITIVE
best,POSITIVE
good happy,POSITIVE
worst app device filtering doesnt work one click look connected device appears connected device connected glitch app app developer look issues,NEGATIVE
mro connected device nai dhekaudaina muji renewal payment gar vanera tw call gareko gare garxas tw net chai k ho gu jsto chaldai nachalne 250mbbs mro gula muji,NEGATIVE
app slow lacking,NEGATIVE
good luck,POSITIVE
service poor,NEGATIVE
5g smoothie,POSITIVE
first days good weeks internet speed drops like 10 scam dont purchase network,NEGATIVE
good,POSITIVE
bad wifi said 250mbps works 30mbps wth,NEGATIVE
slow,NEGATIVE
working update properly,POSITIVE
tried login expected doesnt send login code number doesnt let login google responsible app,NEGATIVE
outstanding,POSITIVE
qr code garne option lyauna paryo wifi lai secure garna,NEGATIVE
good,POSITIVE
good,POSITIVE
nice,POSITIVE
goooodddddd,NEGATIVE
good,POSITIVE
one useless wifi world link,NEGATIVE
good service good mention,POSITIVE
like,POSITIVE
good,POSITIVE
wors resive code say sent code,NEGATIVE
nice,POSITIVE
awesome,POSITIVE
worldlink ko wifi le worldlink aap naii khuldaiina,NEGATIVE
open worldlink,POSITIVE
good,POSITIVE
good service,POSITIVE
nice,POSITIVE
good,POSITIVE
og,POSITIVE
bad service responds,NEGATIVE
slow net,NEGATIVE
slow speed,NEGATIVE
best,POSITIVE
much slow app im trying user block list get block,NEGATIVE
nice,POSITIVE
bhupendar,POSITIVE
best x worldlink,POSITIVE
nice app,POSITIVE
slow features like device filters would better improved,NEGATIVE
bad service,NEGATIVE
experience could feels good motor better experience,NEGATIVE
worst service ive ever used nonsense policies rating,NEGATIVE
kei kam nai gardaina ta secondary router xa tei vayera mobile banking esewa kei kam nai gardaina,NEGATIVE
indeed much slower tortoise,NEGATIVE
app crashes every time,NEGATIVE
net gatilo chhaina paisa dherai mahango aba sabai banda bhayepaxi kaam ni chhaina yes ko,NEGATIVE
good,POSITIVE
