review,predicted_sentiment
malai worldlink ko sewa ramro lagyo.,NEGATIVE
I feel very good. Worldlink is the best Internet in Nepal.,POSITIVE
Not fully satisfied with your service,POSITIVE
"Not able to login to the account, when I input my registered phone number, it says the number has not been registered!!! It wasted by half an hour time shamelessly, just waiting to get my 1 year plan to complete so that I can get chance to correct my mistake",NEGATIVE
Lovelllyyy,NEGATIVE
Worst isp of nepal eti maile atmahatya gare bhne tesko reason worldlink nai hunxa kasaile rakhne sochnu bhaxa bhne jindagi kai sab bhnda thulo galti garirahanu bhaxa,NEGATIVE
Paisha la puggra hola paila paila jasto ramro xina aaila internet connection hami la Vanya jasto facilities pako xina,NEGATIVE
Hangup sometimes,NEGATIVE
Generally dnt review any app but this is beyond limitations. Worst update ever!!!!,NEGATIVE
My wordlink very easy,POSITIVE
mac adress settings xaina ta,NEGATIVE
"this app is too 🐌slow, WiFi is incredible👍",NEGATIVE
Net too slow during working hours.,NEGATIVE
Lamo geda jasto app ra puti jasto internet ja muji.,NEGATIVE
Worldlink was the worst WiFi,NEGATIVE
Third class app,POSITIVE
"App crash frequently, Specially while trying to test the speed of the internet.",NEGATIVE
Not working in my device. So worst app,NEGATIVE
The recent update is very good. I really like the way Worldlink handles everything. The next thing I expect in this application is that it should be able to be protected with password. Hope to see password lockable feature in new update very soon. Thank you!  :),POSITIVE
Kera internet worst internet ever,NEGATIVE
Well done worldlink,POSITIVE
Best survice,POSITIVE
Fitst internet wont work properly and next when u try to open ticket then app won't open. User : used for 7 years now changing,POSITIVE
all u need in one app,NEGATIVE
it is slow,NEGATIVE
I think this app is good but some time problems occurs while changing passwords,POSITIVE
Very poor network all the time I'm unsatisfied customer all the time network problem.,NEGATIVE
Some time it became to much slow internet connection takes a lot of time o do a task,NEGATIVE
Do not connection to worldlink wifi This network are very froud network any time connection to 25 mpbs speed and buy purchase 200 mpbs speed not connection this connection are very froud network not any people,NEGATIVE
"I have a plan of 5 mbps but it hardly works ..!! One star is also more in this term and moreover when i on my router, the free wifi named free world link is self created...Do you have any solutions ?",NEGATIVE
All is well,POSITIVE
Really good app. But net speed chai Banauna Aako 2 3 Paxi Feri Slow Hunnca,NEGATIVE
They needed to closed the company thank u 👍,POSITIVE
Just perfect app,POSITIVE
Excellent after new update. It was a bit poor before Well now am satisfied. Good Job world Link,POSITIVE
Easy to use. 🤟,POSITIVE
waste,NEGATIVE
So poor ISP IN THE WORLD,NEGATIVE
Poor services,NEGATIVE
Many bugs added after the lastest update.,NEGATIVE
How do u add 2 accounts in this app. Since I was using wireless internet and now I ve started on fibre net. Can u tell step by step,NEGATIVE
Worst service and worst customer care staff ass hole people's no timeing sense .they dont have any value of their customers,NEGATIVE
Waiyet App,POSITIVE
K vako error van x th,NEGATIVE
Good wife,POSITIVE
guuuuu net,NEGATIVE
Nice apk but it can't run offline,POSITIVE
Useful.,POSITIVE
Worst! Connected devices and Device filtering does not works properly!!!!,NEGATIVE
Super fast net Rey gerako fast 😡😡 jhile ping +999 hunxa 🖕,POSITIVE
Should add more feature,NEGATIVE
Very worst experiences..was fast for 2 days..then very very slow afterwards..don't recommend to anyone ..use another services rather than worldlink..thankyou,NEGATIVE
Your wifi is to slow,NEGATIVE
Device filtering service is not working in my apps,NEGATIVE
Sloww,NEGATIVE
The worst WiFi that's I have seen in my line when WiFi router restarted it gives internet after 5 min,NEGATIVE
connected devices nai dekhaudaina bela bela ma,NEGATIVE
I am not able to filter devices using my wifi,NEGATIVE
The app too worse it is not performing well..please update the app,NEGATIVE
Aaj kal kina net slow xa game ma ping 300+ hunxa plz answer,NEGATIVE
I was an user but I have to leave the service because of location change and world Link has no cable around here in dumkauli nawalparashi. I got that information after calling nearly around 10 times. I had balance remaining of around 20 days. I called to return the router and refund my money and customer care replies they don't know where to return in nawalparashi.. I don't know where to complain so I decided to put my review here. Frustrating service. I will never recommend my closed one.,NEGATIVE
Honestly saying it was a dumb WiFi around the world. So useless slow WiFi. I dont like it. I recommended you not to have worldlink WiFi. It's so useless. Nonsense,NEGATIVE
Good app 👍,POSITIVE
it's okay,POSITIVE
Its lit,POSITIVE
Excellent Internet provider. Thanks for all your effort,POSITIVE
Code ja pathaunnna yrr kabadi app,NEGATIVE
Router shows offline even its online due to which SSID and password cannot be change. Worst.,NEGATIVE
"1.when we start this app, my mobile get disconnected from Wifi, and again re-connect, why it happen, probably after latest update only. 2. App should work also without internet, it should be able to open and access router in home network/LAN. 3. need to have access to sellect wifi band/channel with own choice.",NEGATIVE
I think you should give an option to blco mac addresses,NEGATIVE
Otp is not coming pls to log in this aap pls fix the issue as soo. As possobile,NEGATIVE
Great app.,POSITIVE
Best 🖤🖤💸💸,POSITIVE
World link no open,POSITIVE
App pani testai xa serive ra speed ne testai xa......thagna baseka haru dale haru,NEGATIVE
This app suck The old version was amazing But this one is awfull I can't change my WiFi SSID,NEGATIVE
No good internet provide worst net,NEGATIVE
So slow,NEGATIVE
I had recharge my router on dashain offer with television pack but If we ask for the connection on TV .All the working staff says the setup box is sourtage of net t.v and its been 3 week and no any call and nothing else . I have humble request plz make your customer service effective,NEGATIVE
Worst net. This net is way trash,NEGATIVE
March update is better than last one.,NEGATIVE
Net nai chaldaina,NEGATIVE
Worst service. Mf,NEGATIVE
For your internet,NEGATIVE
Worst wifi ever I broke the eouter they are just taking our money😠😡,NEGATIVE
Sabse ghatiya isp of nepal,NEGATIVE
This is the worst app ever that existed for costumer care.Why all of your staff are like I don't care for costumer.They are just working for their salary.P.S don't ever use this worldlink WiFi.SHITY WIFI EVER EXISTED.😠😠,NEGATIVE
Works good need more new updates...safe net service doesn't works,POSITIVE
Advance payment ko link nai open hudaina. Kurda kurda juni bitchha jasto lagichha,NEGATIVE
good and useful,POSITIVE
Does not work properly,POSITIVE
"Connection of 50mb/s works only 1-3 mb/s . Well played. Anyone thinking of 
connecting worldlink my advise just don't :)",POSITIVE
It's very good and helpful app,POSITIVE
"It was working few months ago, but unable to open it from several days. Please fix problem soon.",NEGATIVE
Worst app the feature in the app doesn't work.,NEGATIVE
it is good app to manage the router but net service is not good,POSITIVE
Bugs everywhere.,NEGATIVE
Ur wifi is💩 always the server is down and when ever i report they say plz contact to this and that u should fix ur server by ur own not by just complain 😠😡😡😡😡👹👹,NEGATIVE
Worst internet service ever 🥵,NEGATIVE
You suck,NEGATIVE
Veru good service and powerfull network,POSITIVE
