review,cleaned_text,sentiment,confidence,is_suggestion,suggestion_text
neet improve internet rather good,neet improve internet rather good,POSITIVE,0.998,True,neet improve internet rather good
even though sync multiple times sync doesnot happens time synced 45time via app throught web saw sync happened 1201 pm result cant see many devices connected currently rather shows devices connected time kindly fix problem,even though sync multiple times sync doesnot happens time synced 45time via app throught web saw sync happened 1201 pm result cant see many devices connected currently rather shows devices connected time kindly fix problem,NEGATIVE,0.997,True,even though sync multiple times sync doesnot happens time synced 45time via app throught web saw sync happened 1201 pm result cant see many devices connected currently rather shows devices connected time kindly fix problem
app slow many things worldlink need improvise customers end side,app slow many things worldlink need improvise customers end side,NEGATIVE,0.987,True,
couldnt even sign also doesnt make sense fix app delete app,couldnt even sign also doesnt make sense fix app delete app,NEGATIVE,1.0,True,couldnt even sign also doesnt make sense fix app delete app
slow features like device filters would better improved,slow features like device filters would better improved,NEGATIVE,0.999,True,
internet service worst wife speed slow tortoise problem happening wife automatically crash doesnt give one link iam starting playing games started others stuffs wifi doesnt give one link also start crashing showing x mark single although recently pay wifi bill started showing saying couldnt provided network please fix type issues otherwise use companies brand,internet service worst wife speed slow tortoise problem happening wife automatically crash doesnt give one link iam starting playing games started others stuffs wifi doesnt give one link also start crashing showing x mark single although recently pay wifi bill started showing saying couldnt provided network please fix type issues otherwise use companies brand,NEGATIVE,0.998,True,internet service worst wife speed slow tortoise problem happening wife automatically crash doesnt give one link iam starting playing games started others stuffs wifi doesnt give one link also start crashing showing x mark single although recently pay wifi bill started showing saying couldnt provided network please fix type issues otherwise use companies brand
whats wrong apps instead opening app always goes app info fix,whats wrong apps instead opening app always goes app info fix,NEGATIVE,1.0,True,whats wrong apps instead opening app always goes app info fix
worst app ever cant even function properly please make app usable practical cant even change password edit whitelisted devices please fix major issues,worst app ever cant even function properly please make app usable practical cant even change password edit whitelisted devices please fix major issues,NEGATIVE,1.0,True,worst app ever cant even function properly please make app usable practical cant even change password edit whitelisted devices please fix major issues
app slowneed improve,app slowneed improve,NEGATIVE,0.526,True,app slowneed improve
hay worldlink team please repair app many times try open app,hay worldlink team please repair app many times try open app,NEGATIVE,0.949,True,hay worldlink team please repair app many times try open app
device filtering z vako mac id filter add garnq mildaina ta,device filtering z vako mac id filter add garnq mildaina ta,NEGATIVE,0.988,True,device filtering z vako mac id filter add garnq mildaina ta
guys need update,guys need update,NEGATIVE,0.962,True,
im disappoint world link try add devices white list take 5 min loading gives something wrong tried 30 min whitelisted 4 devices last devices whitelist mode devices connected please solved problems,im disappoint world link try add devices white list take 5 min loading gives something wrong tried 30 min whitelisted 4 devices last devices whitelist mode devices connected please solved problems,NEGATIVE,0.999,True,im disappoint world link try add devices white list take 5 min loading gives something wrong tried 30 min whitelisted 4 devices last devices whitelist mode devices connected please solved problems
blacklisting done accurately please kindly use strong software planning accuracy upto mark,blacklisting done accurately please kindly use strong software planning accuracy upto mark,POSITIVE,0.986,True,blacklisting done accurately please kindly use strong software planning accuracy upto mark
app ramro xain device filtering kam gardain ek patak filtering garepaxi arko phone add garnuparo vane suru add gareko mac afai delete hunx connected device herna khojda pani wifi disconnect hunx,app ramro xain device filtering kam gardain ek patak filtering garepaxi arko phone add garnuparo vane suru add gareko mac afai delete hunx connected device herna khojda pani wifi disconnect hunx,NEGATIVE,0.998,True,app ramro xain device filtering kam gardain ek patak filtering garepaxi arko phone add garnuparo vane suru add gareko mac afai delete hunx connected device herna khojda pani wifi disconnect hunx
worldlink service totally pathetic internet working 10 days still isnt good response technician check go problem still paid yearly plan useless please anyone reading dont join worldlink connection,worldlink service totally pathetic internet working 10 days still isnt good response technician check go problem still paid yearly plan useless please anyone reading dont join worldlink connection,NEGATIVE,1.0,True,worldlink service totally pathetic internet working 10 days still isnt good response technician check go problem still paid yearly plan useless please anyone reading dont join worldlink connection
previously given one star improved white list feature well chatting features got improved still many features need improved aint enough example chat us feature whenever message start using another app reopen chat opens man way slow features keep improving like would next time give 5 star,previously given one star improved white list feature well chatting features got improved still many features need improved aint enough example chat us feature whenever message start using another app reopen chat opens man way slow features keep improving like would next time give 5 star,NEGATIVE,0.985,True,
puranai ramro thiyo apps ahila tw multiple select pani garna mildaina tw black list rakhna ni ghumeko ghumai hunxa app posting please make app like cant block unknown person like,puranai ramro thiyo apps ahila tw multiple select pani garna mildaina tw black list rakhna ni ghumeko ghumai hunxa app posting please make app like cant block unknown person like,NEGATIVE,0.992,True,puranai ramro thiyo apps ahila tw multiple select pani garna mildaina tw black list rakhna ni ghumeko ghumai hunxa app posting please make app like cant block unknown person like
need improve speed,need improve speed,NEGATIVE,0.959,True,need improve speed
please update garnu yo app lastai glich xa white list mode lagdaa app nai glich hunxa system nai chaldaina poor app,please update garnu yo app lastai glich xa white list mode lagdaa app nai glich hunxa system nai chaldaina poor app,NEGATIVE,1.0,True,please update garnu yo app lastai glich xa white list mode lagdaa app nai glich hunxa system nai chaldaina poor app
whenever try add delete devices whitelist app doesnt workuseless appp,whenever try add delete devices whitelist app doesnt workuseless appp,NEGATIVE,0.999,True,whenever try add delete devices whitelist app doesnt workuseless appp
please dont forget router,please dont forget router,POSITIVE,0.997,True,please dont forget router
good app handling many bugs operating slow loading som features like connected device etc please fixed,good app handling many bugs operating slow loading som features like connected device etc please fixed,POSITIVE,0.974,True,good app handling many bugs operating slow loading som features like connected device etc please fixed
